batch_id,collection_timestamp,city,station_type,station_id,station_name,stop_point_ref,operating_day,journey_ref,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,estimated_platform,scheduled_departure,estimated_departure,cancelled,has_realtime,predicted_delay_minutes,collection_timestamp_local,scheduled_departure_local,estimated_departure_local,date,hour,weekday,weekend,minutes_until_departure
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:18552-001,rail,S-Bahn,S5,S5,18552,Pfäffikon SZ,Zug,41/42,42,2026-09-22 12:09:00+00:00,2026-09-22 12:09:18+00:00,,True,0.3,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:09:00+02:00,2026-09-22 14:09:18+02:00,2026-09-22,14,Tuesday,False,4.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:3:5,2026-09-22,ch:1:sjyid:100001:2627-001,rail,InterRegio,IR70,IR70,2627,Zürich HB,Luzern,5,,2026-09-22 12:10:00+00:00,2026-09-22 12:10:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:10:00+02:00,2026-09-22 14:10:30+02:00,2026-09-22,14,Tuesday,False,5.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:32,2026-09-22,ch:1:sjyid:100001:2074-001,rail,InterRegio,IR36,IR36,2074,Zürich Flughafen,Basel SBB,32,,2026-09-22 12:10:00+00:00,2026-09-22 12:10:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:10:00+02:00,2026-09-22 14:10:30+02:00,2026-09-22,14,Tuesday,False,5.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:500:31,2026-09-22,ch:1:sjyid:100001:19952-001,rail,S-Bahn,S19,S19,19952,Effretikon,Dietikon,31,,2026-09-22 12:11:00+00:00,2026-09-22 12:11:48+00:00,,True,0.8,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:11:00+02:00,2026-09-22 14:11:48+02:00,2026-09-22,14,Tuesday,False,6.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:503:43,2026-09-22,ch:1:sjyid:100001:18753-001,rail,S-Bahn,S7,S7,18753,Winterthur,Rapperswil SG,43/44,,2026-09-22 12:11:00+00:00,2026-09-22 12:12:30+00:00,,True,1.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:11:00+02:00,2026-09-22 14:12:30+02:00,2026-09-22,14,Tuesday,False,6.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:501:33,2026-09-22,ch:1:sjyid:100001:19453-001,rail,S-Bahn,S14,S14,19453,Affoltern am Albis,Hinwil,33,,2026-09-22 12:12:00+00:00,2026-09-22 12:12:30+00:00,,True,0.5,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:12:00+02:00,2026-09-22 14:12:30+02:00,2026-09-22,14,Tuesday,False,7.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:6:10,2026-09-22,ch:1:sjyid:100061:2371-002,rail,Aare Linth,IR35,IR35,2371,Bern,Chur,10,,2026-09-22 12:12:00+00:00,2026-09-22 12:13:00+00:00,,True,1.0,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:12:00+02:00,2026-09-22 14:13:00+02:00,2026-09-22,14,Tuesday,False,7.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:501:34,2026-09-22,ch:1:sjyid:100001:18252-001,rail,S-Bahn,S2,S2,18252,Ziegelbrücke,Zürich Flughafen,34,,2026-09-22 12:14:00+00:00,2026-09-22 12:14:18+00:00,,True,0.3,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:14:00+02:00,2026-09-22 14:14:18+02:00,2026-09-22,14,Tuesday,False,9.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:2:3,2026-09-22,ch:1:sjyid:100001:20452-001,rail,S-Bahn,S24,S24,20452,Zug,Weinfelden,3,,2026-09-22 12:14:00+00:00,2026-09-22 12:14:18+00:00,,True,0.3,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:14:00+02:00,2026-09-22 14:14:18+02:00,2026-09-22,14,Tuesday,False,9.33315
20260922_120440,2026-09-22 12:04:40.011000+00:00,Zürich,rail,ch:1:sloid:3000,Zürich HB,ch:1:sloid:3000:502:42,2026-09-22,ch:1:sjyid:100001:19252-001,rail,S-Bahn,S12,S12,19252,Wil SG,Brugg AG,41/42,,2026-09-22 12:14:00+00:00,2026-09-22 12:14:18+00:00,,True,0.3,2026-09-22 14:04:40.011000+02:00,2026-09-22 14:14:00+02:00,2026-09-22 14:14:18+02:00,2026-09-22,14,Tuesday,False,9.33315
