operating_day,journey_ref,stop_point_ref,station_name,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,scheduled_departure,estimated_departure,scheduled_departure_local,estimated_departure_local,has_realtime,predicted_delay_minutes,collection_timestamp,collection_timestamp_local
2026-09-19,ch:1:sjyid:100001:18946-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S9,S9,18946,Uster,Rafz,41/42,2026-09-19 10:37:00+00:00,2026-09-19 10:37:18+00:00,2026-09-19 12:37:00+02:00,2026-09-19 12:37:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:188-001,ch:1:sloid:3000:3:5,Zürich HB,rail,InterCity,IC,IC,188,Zürich HB,Stuttgart Hbf,5,2026-09-19 10:37:00+00:00,2026-09-19 10:37:30+00:00,2026-09-19 12:37:00+02:00,2026-09-19 12:37:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:4820-001,ch:1:sloid:3000:8:15,Zürich HB,rail,RegioExpress,RE37,RE37,4820,Zürich HB,Aarau,15,2026-09-19 10:38:00+00:00,2026-09-19 10:38:30+00:00,2026-09-19 12:38:00+02:00,2026-09-19 12:38:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:905-001,ch:1:sloid:3000:3:4,Zürich HB,rail,InterCity,IC,IC,905,Genève-Aéroport,Chur,8,2026-09-19 10:38:00+00:00,2026-09-19 10:38:30+00:00,2026-09-19 12:38:00+02:00,2026-09-19 12:38:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:19547-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S15,S15,19547,Niederweningen,Rapperswil SG,43/44,2026-09-19 10:39:00+00:00,2026-09-19 10:40:54+00:00,2026-09-19 12:39:00+02:00,2026-09-19 12:40:54+02:00,True,1.9,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18546-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S5,S5,18546,Pfäffikon SZ,Zug,41/42,2026-09-19 10:39:00+00:00,2026-09-19 10:39:18+00:00,2026-09-19 12:39:00+02:00,2026-09-19 12:39:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18747-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S7,S7,18747,Winterthur,Rapperswil SG,43/44,2026-09-19 10:41:00+00:00,2026-09-19 10:42:30+00:00,2026-09-19 12:41:00+02:00,2026-09-19 12:42:30+02:00,True,1.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:19447-001,ch:1:sloid:3000:501:34,Zürich HB,rail,S-Bahn,S14,S14,19447,Affoltern am Albis,Hinwil,34,2026-09-19 10:42:00+00:00,2026-09-19 10:42:30+00:00,2026-09-19 12:42:00+02:00,2026-09-19 12:42:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:20547-001,ch:1:sloid:3000:5:9,Zürich HB,rail,S-Bahn,S25,S25,20547,Zürich HB,Linthal,9,2026-09-19 10:43:00+00:00,2026-09-19 10:43:30+00:00,2026-09-19 12:43:00+02:00,2026-09-19 12:43:30+02:00,True,0.5,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:18246-001,ch:1:sloid:3000:501:33,Zürich HB,rail,S-Bahn,S2,S2,18246,Ziegelbrücke,Zürich Flughafen,33,2026-09-19 10:44:00+00:00,2026-09-19 10:44:18+00:00,2026-09-19 12:44:00+02:00,2026-09-19 12:44:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:20446-001,ch:1:sloid:3000:2:3,Zürich HB,rail,S-Bahn,S24,S24,20446,Zug,Effretikon,3,2026-09-19 10:44:00+00:00,2026-09-19 10:44:18+00:00,2026-09-19 12:44:00+02:00,2026-09-19 12:44:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:19246-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S12,S12,19246,Schaffhausen,Brugg AG,41/42,2026-09-19 10:44:00+00:00,2026-09-19 10:44:18+00:00,2026-09-19 12:44:00+02:00,2026-09-19 12:44:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:19647-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S16,S16,19647,Zürich Flughafen,Herrliberg-Feldmeilen,43/44,2026-09-19 10:45:00+00:00,2026-09-19 10:45:36+00:00,2026-09-19 12:45:00+02:00,2026-09-19 12:45:36+02:00,True,0.6,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:19247-002,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S12,S12,19247,Brugg AG,Winterthur,43/44,2026-09-19 10:46:00+00:00,2026-09-19 10:47:00+00:00,2026-09-19 12:46:00+02:00,2026-09-19 12:47:00+02:00,True,1.0,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
2026-09-19,ch:1:sjyid:100001:19646-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S16,S16,19646,Herrliberg-Feldmeilen,Zürich Flughafen,41/42,2026-09-19 10:46:00+00:00,2026-09-19 10:46:18+00:00,2026-09-19 12:46:00+02:00,2026-09-19 12:46:18+02:00,True,0.3,2026-09-19 10:23:50.283095+00:00,2026-09-19 12:23:50.283095+02:00
