operating_day,journey_ref,stop_point_ref,station_name,transport_mode,product_category,public_code,line,train_number,origin,destination,planned_platform,scheduled_departure,estimated_departure,scheduled_departure_local,estimated_departure_local,has_realtime,predicted_delay_minutes,collection_timestamp,collection_timestamp_local
2026-09-21,ch:1:sjyid:100001:18263-001,ch:1:sloid:3000:500:31,Zürich HB,rail,S-Bahn,S2,S2,18263,Zürich Flughafen,Ziegelbrücke,32,2026-09-21 14:47:00+00:00,2026-09-21 14:48:00+00:00,2026-09-21 16:47:00+02:00,2026-09-21 16:48:00+02:00,True,1.0,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:19462-001,ch:1:sloid:3000:500:32,Zürich HB,rail,S-Bahn,S14,S14,19462,Hinwil,Affoltern am Albis,31,2026-09-21 14:49:00+00:00,2026-09-21 14:50:00+00:00,2026-09-21 16:49:00+02:00,2026-09-21 16:50:00+02:00,True,1.0,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:19963-001,ch:1:sloid:3000:501:34,Zürich HB,rail,S-Bahn,S19,S19,19963,Koblenz,Pfäffikon ZH,34,2026-09-21 14:49:00+00:00,2026-09-21 14:49:18+00:00,2026-09-21 16:49:00+02:00,2026-09-21 16:49:18+02:00,True,0.3,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18762-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S7,S7,18762,Rapperswil SG,Winterthur,41/42,2026-09-21 14:49:00+00:00,2026-09-21 14:49:42+00:00,2026-09-21 16:49:00+02:00,2026-09-21 16:49:42+02:00,True,0.7,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:20463-001,ch:1:sloid:3000:3:4,Zürich HB,rail,S-Bahn,S24,S24,20463,Weinfelden,Zug,4,2026-09-21 14:51:00+00:00,2026-09-21 14:51:18+00:00,2026-09-21 16:51:00+02:00,2026-09-21 16:51:18+02:00,True,0.3,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:2077-001,ch:1:sloid:3000:501:33,Zürich HB,rail,InterRegio,IR36,IR36,2077,Basel SBB,Zürich Flughafen,33,2026-09-21 14:52:00+00:00,2026-09-21 14:52:24+00:00,2026-09-21 16:52:00+02:00,2026-09-21 16:52:24+02:00,True,0.4,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:19562-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S15,S15,19562,Rapperswil SG,Niederweningen,41/42,2026-09-21 14:52:00+00:00,2026-09-21 14:53:18+00:00,2026-09-21 16:52:00+02:00,2026-09-21 16:53:18+02:00,True,1.3,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100061:2376-001,ch:1:sloid:3000:8:15,Zürich HB,rail,Aare Linth,IR35,IR35,2376,Chur,Bern,15,2026-09-21 14:53:00+00:00,2026-09-21 14:53:30+00:00,2026-09-21 16:53:00+02:00,2026-09-21 16:53:30+02:00,True,0.5,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18563-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S5,S5,18563,Zug,Pfäffikon SZ,43/44,2026-09-21 14:54:00+00:00,2026-09-21 14:57:00+00:00,2026-09-21 16:54:00+02:00,2026-09-21 16:57:00+02:00,True,3.0,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18862-001,ch:1:sloid:3000:501:34,Zürich HB,rail,S-Bahn,S8,S8,18862,Pfäffikon SZ,Winterthur,34,2026-09-21 14:55:00+00:00,2026-09-21 14:55:18+00:00,2026-09-21 16:55:00+02:00,2026-09-21 16:55:18+02:00,True,0.3,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:20063-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S20,S20,20063,Zürich Hardbrücke,Uerikon,43/44,2026-09-21 14:56:00+00:00,2026-09-21 14:59:48+00:00,2026-09-21 16:56:00+02:00,2026-09-21 16:59:48+02:00,True,3.8,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18362-002,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S3,S3,18362,Wetzikon ZH,Bülach,41/42,2026-09-21 14:56:00+00:00,2026-09-21 14:57:18+00:00,2026-09-21 16:56:00+02:00,2026-09-21 16:57:18+02:00,True,1.3,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18963-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S9,S9,18963,Schaffhausen,Uster,43/44,2026-09-21 14:58:00+00:00,2026-09-21 14:58:18+00:00,2026-09-21 16:58:00+02:00,2026-09-21 16:58:18+02:00,True,0.3,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:780-001,ch:1:sloid:3000:7:12,Zürich HB,rail,InterCity,IC3,IC3,780,Chur,Basel SBB,12,2026-09-21 14:59:00+00:00,2026-09-21 14:59:30+00:00,2026-09-21 16:59:00+02:00,2026-09-21 16:59:30+02:00,True,0.5,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:19164-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S11,S11,19164,Seuzach,Aarau,41/42,2026-09-21 14:59:00+00:00,2026-09-21 15:00:06+00:00,2026-09-21 16:59:00+02:00,2026-09-21 17:00:06+02:00,True,1.1,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18663-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S6,S6,18663,Baden,Uetikon,43/44,2026-09-21 15:00:00+00:00,2026-09-21 15:01:06+00:00,2026-09-21 17:00:00+02:00,2026-09-21 17:01:06+02:00,True,1.1,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:19165-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S11,S11,19165,Aarau,Seuzach,43/44,2026-09-21 15:01:00+00:00,2026-09-21 15:02:24+00:00,2026-09-21 17:01:00+02:00,2026-09-21 17:02:24+02:00,True,1.4,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18664-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S6,S6,18664,Uetikon,Baden,41/42,2026-09-21 15:01:00+00:00,2026-09-21 15:01:42+00:00,2026-09-21 17:01:00+02:00,2026-09-21 17:01:42+02:00,True,0.7,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:527-001,ch:1:sloid:3000:501:33,Zürich HB,rail,InterCity,IC5,IC5,527,Lausanne,Rorschach,33,2026-09-21 15:02:00+00:00,2026-09-21 15:02:30+00:00,2026-09-21 17:02:00+02:00,2026-09-21 17:02:30+02:00,True,0.5,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:826-002,ch:1:sloid:3000:500:31,Zürich HB,rail,InterCity,IC81,IC81,826,Romanshorn,Interlaken Ost,31,2026-09-21 15:02:00+00:00,2026-09-21 15:02:30+00:00,2026-09-21 17:02:00+02:00,2026-09-21 17:02:30+02:00,True,0.5,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:530-001,ch:1:sloid:3000:500:32,Zürich HB,rail,InterCity,IC5,IC5,530,Rorschach,Lausanne,32,2026-09-21 15:04:00+00:00,2026-09-21 15:04:30+00:00,2026-09-21 17:04:00+02:00,2026-09-21 17:04:30+02:00,True,0.5,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18365-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S3,S3,18365,Zürich Hardbrücke,Wetzikon ZH,43/44,2026-09-21 15:04:00+00:00,2026-09-21 15:04:54+00:00,2026-09-21 17:04:00+02:00,2026-09-21 17:04:54+02:00,True,0.9,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:825-001,ch:1:sloid:3000:501:34,Zürich HB,rail,InterCity,IC8,IC8,825,Brig,Romanshorn,34,2026-09-21 15:04:00+00:00,2026-09-21 15:04:30+00:00,2026-09-21 17:04:00+02:00,2026-09-21 17:04:30+02:00,True,0.5,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:881-001,ch:1:sloid:3000:4:7,Zürich HB,rail,InterCity,IC2,IC2,881,Zürich HB,Lugano,7,2026-09-21 15:05:00+00:00,2026-09-21 15:05:30+00:00,2026-09-21 17:05:00+02:00,2026-09-21 17:05:30+02:00,True,0.5,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:4930-001,ch:1:sloid:3000:3:5,Zürich HB,rail,RegioExpress,RE48,RE48,4930,Zürich HB,Schaffhausen,5,2026-09-21 15:05:00+00:00,2026-09-21 15:05:12+00:00,2026-09-21 17:05:00+02:00,2026-09-21 17:05:12+02:00,True,0.2,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:19063-001,ch:1:sloid:3000:503:43,Zürich HB,rail,S-Bahn,S23,S23,19063,Zürich HB,Winterthur,43/44,2026-09-21 15:06:00+00:00,2026-09-21 15:07:12+00:00,2026-09-21 17:06:00+02:00,2026-09-21 17:07:12+02:00,True,1.2,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:2180-001,ch:1:sloid:3000:8:14,Zürich HB,rail,InterRegio,IR16,IR16,2180,Zürich HB,Bern,14,2026-09-21 15:06:00+00:00,2026-09-21 15:06:30+00:00,2026-09-21 17:06:00+02:00,2026-09-21 17:06:30+02:00,True,0.5,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18865-001,ch:1:sloid:3000:500:31,Zürich HB,rail,S-Bahn,S8,S8,18865,Winterthur,Pfäffikon SZ,31,2026-09-21 15:07:00+00:00,2026-09-21 15:07:36+00:00,2026-09-21 17:07:00+02:00,2026-09-21 17:07:36+02:00,True,0.6,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:18964-001,ch:1:sloid:3000:502:42,Zürich HB,rail,S-Bahn,S9,S9,18964,Uster,Schaffhausen,41/42,2026-09-21 15:07:00+00:00,2026-09-21 15:07:18+00:00,2026-09-21 17:07:00+02:00,2026-09-21 17:07:18+02:00,True,0.3,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
2026-09-21,ch:1:sjyid:100001:779-001,ch:1:sloid:3000:5:8,Zürich HB,rail,InterCity,IC3,IC3,779,Basel SBB,Chur,8,2026-09-21 15:07:00+00:00,2026-09-21 15:08:00+00:00,2026-09-21 17:07:00+02:00,2026-09-21 17:08:00+02:00,True,1.0,2026-09-21 14:49:00.737979+00:00,2026-09-21 16:49:00.737979+02:00
